[2025-06-18 05:02:14,000][__main__][INFO] - Using device: 'cuda'.
[2025-06-18 05:03:03,900][nbjw_calib.model.cls_hrnet][INFO] - => init weights from normal distribution
[2025-06-18 05:03:05,576][nbjw_calib.model.cls_hrnet_l][INFO] - => init weights from normal distribution
[2025-06-18 05:03:09,334][tracklab.pipeline.module][INFO] - Pipeline: YOLOv8 -> PRTReId -> BPBReIDStrongSORT -> NBJW_Calib_Keypoints -> NBJW_Calib -> MMOCR -> MajorityVoteTracklet -> TrackletTeamClustering -> TrackletTeamSideLabeling
[2025-06-18 05:03:09,338][sn_gamestate.reid.prtreid_dataset][INFO] - Loading train set...
[2025-06-18 05:03:30,344][sn_gamestate.reid.prtreid_dataset][WARNING] - ReidDataset removed because too small samples (h<30 or w<30) = 162556
[2025-06-18 05:03:31,702][sn_gamestate.reid.prtreid_dataset][WARNING] - ReidDataset removed for uniform tracklet sampling = 550359
[2025-06-18 05:03:31,712][sn_gamestate.reid.prtreid_dataset][WARNING] - ReidDataset removed for not enough samples per id = 19
[2025-06-18 05:03:31,813][sn_gamestate.reid.prtreid_dataset][INFO] - ReidDataset filtered size = 20067
[2025-06-18 05:03:31,969][sn_gamestate.reid.prtreid_dataset][INFO] - All detections used for ReID already have their image crop saved on disk.
[2025-06-18 05:03:32,057][sn_gamestate.reid.prtreid_dataset][INFO] - Loading val set...
[2025-06-18 05:03:53,502][sn_gamestate.reid.prtreid_dataset][WARNING] - ReidDataset removed because too small samples (h<0 or w<0) = 0
[2025-06-18 05:03:56,297][sn_gamestate.reid.prtreid_dataset][WARNING] - ReidDataset removed for uniform tracklet sampling = 734442
[2025-06-18 05:03:56,304][sn_gamestate.reid.prtreid_dataset][WARNING] - ReidDataset removed for not enough samples per id = 3
[2025-06-18 05:03:56,371][sn_gamestate.reid.prtreid_dataset][INFO] - ReidDataset filtered size = 14221
[2025-06-18 05:03:56,533][sn_gamestate.reid.prtreid_dataset][INFO] - All detections used for ReID already have their image crop saved on disk.
[2025-06-18 06:01:59,353][__main__][INFO] - Starting tracking operation on valid set.
[2025-06-18 06:01:59,358][tracklab.datastruct.tracker_state][INFO] - Saving TrackerState to /home/binabola2024/FootballMatchAnalysis/soccernet/outputs/sn-gamestate/2025-06-18/05-02-13/states/sn-gamestate.pklz
[2025-06-18 06:01:59,360][tracklab.pipeline.module][INFO] - Pipeline has been validated
